Exoplanet Name,Discovered Year
PSR B1257+12 c,1992
PSR B1257+12 c,1992
PSR B1257+12 c,1992
PSR B1257+12 d,1992
PSR B1257+12 d,1992
PSR B1257+12 d,1992
PSR B1257+12 b,1994
PSR B1257+12 b,1994
51 Peg b,1995
51 Peg b,1995
51 Peg b,1995
51 Peg b,1995
51 Peg b,1995
16 Cyg B b,1996
16 Cyg B b,1996
16 Cyg B b,1996
16 Cyg B b,1996
16 Cyg B b,1996
16 Cyg B b,1996
47 UMa b,1996
47 UMa b,1996
47 UMa b,1996
47 UMa b,1996
47 UMa b,1996
55 Cnc b,1996
55 Cnc b,1996
55 Cnc b,1996
55 Cnc b,1996
55 Cnc b,1996
55 Cnc b,1996
55 Cnc b,1996
55 Cnc b,1996
55 Cnc b,1996
55 Cnc b,1996
55 Cnc b,1996
55 Cnc b,1996
70 Vir b,1996
70 Vir b,1996
70 Vir b,1996
70 Vir b,1996
70 Vir b,1996
70 Vir b,1996
tau Boo b,1996
tau Boo b,1996
tau Boo b,1996
tau Boo b,1996
tau Boo b,1996
ups And b,1996
ups And b,1996
ups And b,1996
ups And b,1996
ups And b,1996
ups And b,1996
ups And b,1996
rho CrB b,1997
rho CrB b,1997
rho CrB b,1997
GJ 876 b,1998
GJ 876 b,1998
GJ 876 b,1998
GJ 876 b,1998
GJ 876 b,1998
GJ 876 b,1998
GJ 876 b,1998
GJ 876 b,1998
HD 168443 b,1998
HD 168443 b,1998
HD 168443 b,1998
HD 168443 b,1998
HD 168443 b,1998
HD 168443 b,1998
HD 187123 b,1998
HD 187123 b,1998
HD 187123 b,1998
HD 187123 b,1998
HD 187123 b,1998
HD 187123 b,1998
HD 195019 b,1998
HD 195019 b,1998
HD 195019 b,1998
HD 195019 b,1998
HD 195019 b,1998
HD 195019 b,1998
HD 195019 b,1998
HD 210277 b,1998
HD 210277 b,1998
HD 210277 b,1998
HD 210277 b,1998
HD 210277 b,1998
HD 217107 b,1998
HD 217107 b,1998
HD 217107 b,1998
HD 217107 b,1998
HD 217107 b,1998
HD 217107 b,1998
GJ 86 b,1999
GJ 86 b,1999
GJ 86 b,1999
HD 10697 b,1999
HD 10697 b,1999
HD 10697 b,1999
HD 10697 b,1999
HD 10697 b,1999
HD 130322 b,1999
HD 130322 b,1999
HD 130322 b,1999
HD 130322 b,1999
HD 130322 b,1999
HD 134987 b,1999
HD 134987 b,1999
HD 134987 b,1999
HD 134987 b,1999
HD 134987 b,1999
HD 177830 b,1999
HD 177830 b,1999
HD 177830 b,1999
HD 177830 b,1999
HD 192263 b,1999
HD 192263 b,1999
HD 192263 b,1999
HD 192263 b,1999
HD 192263 b,1999
HD 192263 b,1999
HD 192263 b,1999
HD 192263 b,1999
HD 209458 b,1999
HD 209458 b,1999
HD 209458 b,1999
HD 209458 b,1999
HD 209458 b,1999
HD 209458 b,1999
HD 209458 b,1999
HD 209458 b,1999
HD 209458 b,1999
HD 209458 b,1999
HD 209458 b,1999
HD 209458 b,1999
HD 209458 b,1999
HD 209458 b,1999
HD 209458 b,1999
HD 209458 b,1999
HD 209458 b,1999
HD 209458 b,1999
HD 209458 b,1999
HD 209458 b,1999
HD 222582 b,1999
HD 222582 b,1999
HD 222582 b,1999
HD 222582 b,1999
HD 75289 b,1999
HD 75289 b,1999
HD 75289 b,1999
HD 75289 b,1999
HD 89744 b,1999
HD 89744 b,1999
HD 89744 b,1999
HR 810 b,1999
HR 810 b,1999
HR 810 b,1999
ups And c,1999
ups And c,1999
ups And c,1999
ups And c,1999
ups And c,1999
ups And c,1999
ups And d,1999
ups And d,1999
ups And d,1999
ups And d,1999
ups And d,1999
ups And d,1999
BD-10 3166 b,2000
BD-10 3166 b,2000
BD-10 3166 b,2000
BD-10 3166 b,2000
GJ 3021 b,2000
GJ 876 c,2000
GJ 876 c,2000
GJ 876 c,2000
GJ 876 c,2000
GJ 876 c,2000
GJ 876 c,2000
GJ 876 c,2000
HD 12661 b,2000
HD 12661 b,2000
HD 12661 b,2000
HD 12661 b,2000
HD 12661 b,2000
HD 12661 b,2000
HD 160691 b,2000
HD 160691 b,2000
HD 160691 b,2000
HD 160691 b,2000
HD 160691 b,2000
HD 160691 b,2000
HD 16141 b,2000
HD 16141 b,2000
HD 16141 b,2000
HD 168443 c,2000
HD 168443 c,2000
HD 168443 c,2000
HD 168443 c,2000
HD 168443 c,2000
HD 168443 c,2000
HD 169830 b,2000
HD 169830 b,2000
HD 169830 b,2000
HD 169830 b,2000
HD 179949 b,2000
HD 179949 b,2000
HD 179949 b,2000
HD 179949 b,2000
HD 27442 b,2000
HD 27442 b,2000
HD 38529 b,2000
HD 38529 b,2000
HD 38529 b,2000
HD 38529 b,2000
HD 38529 b,2000
HD 38529 b,2000
HD 38529 b,2000
HD 38529 c,2000
HD 38529 c,2000
HD 38529 c,2000
HD 38529 c,2000
HD 38529 c,2000
HD 38529 c,2000
HD 38529 c,2000
HD 46375 b,2000
HD 46375 b,2000
