loc_rowid,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year
1,11 Com b,11 Com,2,1,Radial Velocity,2007
2,11 Com b,11 Com,2,1,Radial Velocity,2007
3,11 UMi b,11 UMi,1,1,Radial Velocity,2009
4,11 UMi b,11 UMi,1,1,Radial Velocity,2009
5,11 UMi b,11 UMi,1,1,Radial Velocity,2009
6,14 And b,14 And,1,1,Radial Velocity,2008
7,14 And b,14 And,1,1,Radial Velocity,2008
8,14 Her b,14 Her,1,2,Radial Velocity,2002
9,14 Her b,14 Her,1,2,Radial Velocity,2002
10,14 Her b,14 Her,1,2,Radial Velocity,2002
11,14 Her b,14 Her,1,2,Radial Velocity,2002
12,14 Her b,14 Her,1,2,Radial Velocity,2002
13,14 Her b,14 Her,1,2,Radial Velocity,2002
14,14 Her b,14 Her,1,2,Radial Velocity,2002
15,14 Her b,14 Her,1,2,Radial Velocity,2002
16,16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996
17,16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996
18,16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996
19,16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996
20,16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996
21,16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996
22,17 Sco b,17 Sco,1,1,Radial Velocity,2020
23,18 Del b,18 Del,2,1,Radial Velocity,2008
24,18 Del b,18 Del,2,1,Radial Velocity,2008
25,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008
26,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008
27,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008
28,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008
29,24 Boo b,24 Boo,1,1,Radial Velocity,2018
30,24 Sex b,24 Sex,1,2,Radial Velocity,2010
31,24 Sex c,24 Sex,1,2,Radial Velocity,2010
32,2M0437 b,2MASS J04372171+2651014,1,1,Imaging,2021
33,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013
34,2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013
35,2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013
