,Years
0,2007
1,2007
2,2009
3,2009
4,2009
5,2008
6,2008
7,2002
8,2002
9,2002
10,2002
11,2002
12,2002
13,2002
14,2002
15,1996
16,1996
17,1996
18,1996
19,1996
20,1996
21,2020
22,2008
23,2008
24,2008
25,2008
26,2008
27,2008
28,2018
29,2010
30,2010
31,2021
32,2013
33,2013
34,2013
35,2015
36,2010
37,2004
38,2004
39,2015
40,2015
41,2016
42,2009
43,2009
44,2009
45,2006
46,2008
47,1996
48,1996
49,1996
50,1996
51,1996
52,2001
53,2001
54,2001
55,2009
56,2009
57,2015
58,2015
59,2015
60,1995
61,1995
62,1995
63,1995
64,1995
65,1996
66,1996
67,1996
68,1996
69,1996
70,1996
71,1996
72,1996
73,1996
74,1996
75,1996
76,1996
77,2004
78,2004
79,2004
80,2004
81,2004
82,2004
83,2004
84,2004
85,2002
86,2002
87,2002
88,2002
89,2002
90,2002
91,2002
92,2002
93,2002
94,2002
95,2004
96,2004
97,2004
98,2004
99,2004
100,2004
101,2004
102,2004
103,2004
104,2004
105,2004
106,2004
107,2004
108,2004
109,2004
110,2007
111,2007
112,2007
113,2007
114,2007
115,2007
116,2007
117,2008
118,2008
119,2008
120,2009
121,2009
122,2009
123,2009
124,2009
125,2011
126,2011
127,2011
128,2019
129,1996
130,1996
131,1996
132,1996
133,1996
134,1996
135,2012
136,2015
137,2015
138,2008
139,2008
140,2013
141,2022
142,2005
143,2023
144,2023
145,2020
146,2020
147,2020
148,2020
149,2020
150,2020
151,2020
152,2021
153,2021
154,2021
155,2021
156,2017
157,2009
158,2009
159,2016
160,2013
161,2009
162,2009
163,2009
164,2012
165,2016
166,2016
167,2016
168,2021
169,2011
170,2018
171,2015
172,2021
173,2021
174,2021
175,2021
176,2013
177,2013
178,2009
179,2009
180,2009
181,2000
182,2000
183,2000
184,2000
185,2014
186,2014
187,2020
188,2007
189,2007
190,2008
191,2008
192,2020
193,2011
194,2021
195,2006
196,2019
197,2021
198,2007
199,2008
200,2008
201,2008
202,2008
203,2008
204,2008
205,2008
206,2010
207,2010
208,2010
209,2010
210,2010
211,2010
212,2010
213,2010
214,2010
215,2010
216,2010
217,2010
218,2010
219,2010
220,2010
221,2010
222,2010
223,2010
224,2010
225,2010
226,2010
227,2010
228,2011
229,2011
230,2011
231,2011
232,2011
233,2011
234,2011
235,2011
236,2011
237,2011
238,2011
239,2011
240,2011
241,2011
242,2011
243,2011
244,2008
245,2008
246,2008
247,2008
248,2008
249,2008
250,2008
251,2008
252,2008
253,2008
254,2008
255,2011
256,2011
257,2011
258,2011
259,2011
260,2011
261,2018
262,2012
263,2012
264,2014
265,2011
266,2011
267,2011
268,2014
269,2014
270,2013
271,2013
272,2013
273,2013
274,2014
275,2014
276,2015
277,2015
278,2015
279,2015
280,2015
281,2008
282,2008
283,2008
284,2008
285,2008
286,2020
287,2020
288,2022
289,2022
290,2008
291,2008
292,2008
293,2008
294,2009
295,2009
296,2009
297,2009
298,2009
299,2009
300,2009
301,2009
302,2009
303,2009
304,2009
305,2009
306,2009
307,2009
308,2009
309,2009
310,2009
311,2009
312,2009
313,2009
314,2009
315,2022
316,2010
317,2010
318,2010
319,2010
320,2009
321,2009
322,2009
323,2009
324,2009
325,2017
326,2017
327,2018
328,2013
329,2004
330,2004
331,2019
332,2019
333,2019
334,2019
335,2019
336,2019
337,2019
338,2009
339,2009
340,2019
341,2019
342,2019
343,2020
344,2019
345,2019
346,2021
347,2019
348,2021
349,2021
350,2021
351,2019
352,2019
353,2020
354,2019
355,2019
356,2019
357,2019
358,2019
359,2019
360,2019
361,2019
362,2019
363,2019
364,2021
365,2021
366,2021
367,2021
368,2021
369,2021
370,2021
371,2019
372,2019
373,2019
374,2019
375,2021
376,2021
377,2019
378,2019
379,2019
380,2019
381,2019
382,2022
383,2022
384,2022
385,2016
386,2016
387,2016
388,2016
389,2016
390,2016
391,2018
392,2018
393,2018
394,2018
395,2018
396,2018
397,2018
398,2018
399,2018
400,2019
401,2019
402,2019
403,2016
404,2016
405,2016
406,2019
407,2019
408,2019
409,2019
410,2019
411,2019
412,2016
413,2016
414,2016
415,2016
416,2016
417,2016
418,2021
419,2021
420,2021
421,2019
422,2019
423,2019
424,2019
425,2021
426,2019
427,2019
428,2019
429,2016
430,2016
431,2016
432,2016
433,2016
434,2016
435,2016
436,2016
437,2016
438,2016
439,2016
440,2016
441,2016
442,2016
443,2016
444,2016
445,2016
446,2016
447,2016
448,2021
449,2021
450,2018
451,2018
452,2018
453,2020
454,2020
455,2020
456,2008
457,2021
458,2021
459,2019
460,2019
461,2019
462,2022
463,2022
464,2020
465,2020
466,2020
467,2015
468,2015
469,2015
470,2015
471,2015
472,2018
473,2010
474,2010
475,2010
476,2017
477,2017
478,2023
479,2009
480,2009
481,2009
482,2009
483,2009
484,2009
485,2009
486,2009
487,2009
488,2009
489,2009
490,2009
491,2009
492,2009
493,2009
494,2009
495,2020
496,2020
497,2020
498,2020
499,2018
500,2019
501,2019
502,2019
503,2014
504,2014
505,2014
506,2018
507,2014
508,2013
509,2013
510,2013
511,2009
512,2009
513,2014
514,2014
515,2014
516,2020
517,2022
518,2022
519,2020
520,2020
521,2020
522,2014
523,2014
524,2014
525,2020
526,2014
527,2017
528,2017
529,2000
530,2020
531,2022
532,2022
533,2017
534,2017
535,2017
536,2007
537,2007
538,2007
539,2007
540,2018
541,2018
542,2018
543,2018
544,2022
545,2013
546,2015
547,2015
548,2015
549,2015
550,2017
551,2017
552,2017
553,2017
554,2015
555,2020
556,2020
557,2012
558,2012
559,2012
560,2012
561,2012
562,2012
563,2012
564,2012
565,2012
566,2012
567,2020
568,2020
569,2020
570,2019
571,2019
572,2020
573,2019
574,2019
575,2019
576,2019
577,2010
578,2021
579,2021
580,2018
581,2022
582,2022
583,2022
584,2022
585,2021
586,2017
587,2016
588,2016
589,2019
590,2019
591,2019
592,2019
593,2021
594,2021
595,2021
596,2021
597,2014
598,2014
599,2019
600,2011
601,2011
602,2011
603,2011
604,2014
605,2014
606,2020
607,2004
608,2004
609,2004
610,2004
611,2004
612,2004
613,2004
614,2004
615,2004
616,2004
617,2004
618,2004
619,2004
620,2004
621,2004
622,2004
623,2004
624,2004
625,2004
626,2004
627,2004
628,2022
629,2022
630,2022
631,2020
632,2021
633,2021
634,2013
635,2022
636,2016
637,2016
638,2005
639,2005
640,2005
641,2005
642,2005
643,2005
644,2007
645,2007
646,2007
647,2007
648,2007
649,2009
650,2009
651,2009
652,2009
653,2017
654,2009
655,2009
656,2011
657,2011
658,2011
659,2011
660,2011
661,2011
662,2011
663,2011
664,2013
665,2013
666,2013
667,2007
668,2010
669,2010
670,2010
671,2010
672,2010
673,2016
674,2016
675,2012
676,2012
677,2012
678,2012
679,2012
680,2012
681,2022
682,2014
683,2014
684,2019
685,2014
686,2014
687,2014
688,2014
689,2020
690,2021
691,2021
692,2008
693,2008
694,2008
695,2006
696,2006
697,2006
698,2006
699,2006
700,2006
701,2014
702,2014
703,1999
704,1999
705,1999
706,1998
707,1998
708,1998
709,1998
710,1998
711,1998
712,1998
713,1998
714,2000
715,2000
716,2000
717,2000
718,2000
719,2000
720,2000
721,2005
722,2005
723,2005
724,2005
725,2005
726,2005
727,2005
728,2010
729,2010
730,2010
731,2020
732,2020
733,2022
734,2020
735,2020
736,2018
737,2020
738,2022
739,2017
740,2017
741,2017
742,2017
743,2017
744,2017
745,2017
746,2017
747,2017
748,2017
749,2017
750,2017
751,2017
752,2017
753,2017
754,2017
755,2017
756,2021
757,2021
758,2004
759,2004
760,2010
761,2010
762,2010
763,2010
764,2014
765,2022
766,2022
767,2022
768,2019
769,2019
770,2018
771,2018
772,2018
773,2006
774,2006
775,2006
776,2006
777,2006
778,2006
779,2006
780,2006
781,2006
782,2006
783,2006
784,2006
785,2006
786,2006
787,2008
788,2008
789,2008
790,2008
791,2008
792,2008
793,2008
794,2008
795,2008
796,2008
797,2008
798,2008
799,2008
800,2008
801,2008
802,2008
803,2008
804,2008
805,2018
806,2018
807,2009
808,2009
809,2009
810,2009
811,2009
812,2009
813,2009
814,2009
815,2009
816,2009
817,2009
818,2009
819,2009
820,2009
821,2009
822,2009
823,2009
824,2009
825,2009
826,2009
827,2009
828,2009
829,2009
830,2009
831,2009
832,2009
833,2009
834,2010
835,2010
836,2010
837,2010
838,2010
839,2010
840,2010
841,2010
842,2010
843,2010
844,2010
845,2010
846,2010
847,2010
848,2010
849,2010
850,2010
851,2010
852,2010
853,2010
854,2010
855,2010
856,2010
857,2010
858,2010
859,2010
860,2010
861,2010
862,2010
863,2010
864,2010
865,2010
866,2010
867,2010
868,2010
869,2010
870,2010
871,2010
872,2010
873,2010
874,2010
875,2010
876,2010
877,2010
878,2010
879,2010
880,2010
881,2010
882,2010
883,2010
884,2010
885,2010
886,2010
887,2010
888,2010
889,2007
890,2007
891,2007
892,2007
893,2007
894,2007
895,2007
896,2007
897,2007
898,2007
899,2007
900,2007
901,2007
902,2007
903,2007
904,2010
905,2010
906,2010
907,2010
908,2010
909,2010
910,2010
911,2010
912,2010
913,2010
914,2010
915,2010
916,2010
917,2010
918,2010
919,2010
920,2010
921,2010
922,2010
923,2010
924,2010
925,2010
926,2010
927,2010
928,2010
929,2010
930,2010
931,2010
932,2010
933,2010
934,2010
935,2010
936,2010
937,2010
938,2010
939,2010
940,2010
941,2010
942,2010
943,2010
944,2010
945,2010
946,2010
947,2010
948,2010
949,2010
950,2010
951,2010
952,2010
953,2010
954,2010
955,2010
956,2010
957,2010
958,2010
959,2010
960,2010
961,2011
962,2011
963,2011
964,2011
965,2011
966,2011
967,2011
968,2011
969,2011
970,2011
971,2011
972,2011
973,2011
974,2011
975,2011
976,2011
977,2011
978,2011
979,2011
980,2011
981,2007
982,2007
983,2007
984,2007
985,2007
986,2007
987,2007
988,2007
989,2007
990,2007
991,2007
992,2007
993,2007
994,2011
995,2011
996,2011
997,2011
998,2011
999,2011
1000,2011
1001,2011
1002,2011
1003,2011
1004,2011
1005,2011
1006,2011
1007,2011
1008,2011
1009,2011
1010,2011
1011,2011
1012,2011
1013,2011
1014,2011
1015,2011
1016,2011
1017,2011
1018,2011
1019,2011
1020,2011
1021,2011
1022,2011
1023,2011
1024,2011
1025,2011
1026,2011
1027,2011
1028,2011
1029,2011
1030,2011
1031,2011
1032,2011
1033,2011
1034,2011
1035,2011
1036,2011
1037,2011
1038,2011
1039,2011
1040,2011
1041,2011
1042,2011
1043,2011
1044,2011
1045,2011
1046,2011
1047,2011
1048,2011
1049,2011
1050,2011
1051,2011
1052,2011
1053,2011
1054,2011
1055,2011
1056,2011
1057,2011
1058,2011
1059,2011
1060,2011
1061,2012
1062,2012
1063,2012
1064,2012
1065,2012
1066,2012
1067,2012
1068,2012
1069,2012
1070,2007
1071,2007
1072,2007
1073,2007
1074,2007
1075,2007
1076,2007
1077,2007
1078,2007
1079,2007
1080,2007
1081,2012
1082,2012
1083,2012
1084,2012
1085,2012
1086,2012
1087,2012
1088,2012
1089,2012
1090,2012
1091,2012
1092,2012
1093,2012
1094,2012
1095,2012
1096,2012
1097,2012
1098,2012
1099,2012
1100,2012
1101,2012
1102,2012
1103,2012
1104,2012
1105,2012
1106,2012
1107,2014
1108,2014
1109,2014
1110,2014
1111,2014
1112,2014
1113,2014
1114,2014
1115,2014
1116,2014
1117,2014
1118,2014
1119,2014
1120,2014
1121,2014
1122,2014
1123,2014
1124,2014
1125,2014
1126,2007
1127,2007
1128,2007
1129,2007
1130,2007
1131,2007
1132,2007
1133,2007
1134,2007
1135,2015
1136,2015
1137,2015
1138,2015
1139,2015
1140,2015
1141,2015
1142,2015
1143,2015
1144,2015
1145,2015
1146,2015
1147,2015
1148,2015
1149,2015
1150,2015
1151,2015
1152,2015
1153,2015
1154,2015
1155,2015
1156,2015
1157,2015
1158,2015
1159,2015
1160,2015
1161,2015
1162,2015
1163,2015
1164,2015
1165,2015
1166,2015
1167,2015
1168,2015
1169,2015
1170,2015
1171,2015
1172,2015
1173,2015
1174,2015
1175,2015
1176,2015
1177,2015
1178,2015
1179,2015
1180,2015
1181,2015
1182,2021
1183,2021
1184,2021
1185,2021
1186,2021
1187,2021
1188,2007
1189,2007
1190,2007
1191,2007
1192,2007
1193,2007
1194,2007
1195,2007
1196,2007
1197,2007
1198,2021
1199,2021
1200,2021
1201,2021
1202,2021
1203,2021
1204,2021
1205,2021
1206,2021
1207,2021
1208,2021
1209,2016
1210,2016
1211,2016
1212,2016
1213,2016
1214,2016
1215,2016
1216,2017
1217,2017
1218,2017
1219,2020
1220,2020
1221,2019
1222,2019
1223,2019
1224,2019
1225,2008
1226,2008
1227,2008
1228,2008
1229,2008
1230,2008
1231,2008
1232,2008
1233,2008
1234,2008
1235,2008
1236,2008
1237,2008
1238,2008
1239,2008
1240,2008
1241,2008
1242,2008
1243,2008
1244,2008
1245,2008
1246,2019
1247,2019
1248,2019
1249,2019
1250,2008
1251,2008
1252,2008
1253,2008
1254,2008
1255,2008
1256,2008
1257,2008
1258,2008
1259,2008
1260,2008
1261,2008
1262,2008
1263,2008
1264,2008
1265,2008
1266,2008
1267,2012
1268,2012
1269,2012
1270,2012
1271,2012
1272,2015
1273,2015
1274,2016
1275,2016
1276,2016
1277,2016
1278,2016
1279,2016
1280,2016
1281,2016
1282,2016
1283,2016
1284,2016
1285,2015
1286,2015
1287,2015
1288,2015
1289,2015
1290,2015
1291,2015
1292,2015
1293,2015
1294,2015
1295,2015
1296,2015
1297,2016
1298,2016
1299,2016
1300,2016
1301,2016
1302,2016
1303,2016
1304,2016
1305,2016
1306,2016
1307,2016
1308,2016
1309,2016
1310,2016
1311,2013
1312,2013
1313,2013
1314,2013
1315,2013
1316,2017
1317,2017
1318,2017
1319,2017
1320,2017
1321,2017
1322,2017
1323,2017
1324,2017
1325,2017
1326,2017
1327,2017
1328,2017
1329,2017
1330,2016
1331,2016
1332,2016
1333,2016
1334,2016
1335,2016
1336,2016
1337,2016
1338,2016
1339,2016
1340,2016
1341,2016
1342,2016
1343,2016
1344,2016
1345,2016
1346,2016
1347,2016
1348,2016
1349,2016
1350,2013
1351,2013
1352,2013
1353,2013
1354,2013
1355,2013
1356,2013
1357,2016
1358,2016
1359,2016
1360,2016
1361,2016
1362,2016
1363,2016
1364,2016
1365,2016
1366,2016
1367,2016
1368,2016
1369,2016
1370,2016
1371,2016
1372,2016
1373,2016
1374,2016
1375,2016
1376,2016
1377,2016
1378,2016
1379,2018
1380,2018
1381,2018
1382,2018
1383,2020
1384,2020
1385,2020
1386,2020
1387,2018
1388,2018
1389,2018
1390,2018
1391,2014
1392,2014
1393,2014
1394,2014
1395,2014
1396,2014
1397,2018
1398,2018
1399,2018
1400,2018
1401,2018
1402,2018
1403,2018
1404,2018
1405,2018
1406,2018
1407,2018
1408,2018
1409,2018
1410,2018
1411,2018
1412,2018
1413,2018
1414,2018
1415,2018
1416,2018
1417,2018
1418,2018
1419,2018
1420,2018
1421,2018
1422,2018
1423,2018
1424,2020
1425,2020
1426,2020
1427,2020
1428,2020
1429,2020
1430,2020
1431,2020
1432,2014
1433,2014
1434,2014
1435,2014
1436,2014
1437,2014
1438,2017
1439,2017
1440,2017
1441,2017
1442,2017
1443,2017
1444,2017
1445,2017
1446,2017
1447,2017
1448,2017
1449,2019
1450,2019
1451,2019
1452,2019
1453,2019
1454,2019
1455,2019
1456,2019
1457,2019
1458,2019
1459,2019
1460,2019
1461,2019
1462,2019
1463,2019
1464,2019
1465,2019
1466,2018
1467,2018
1468,2018
1469,2018
1470,2015
1471,2015
1472,2015
1473,2015
1474,2015
1475,2018
1476,2018
1477,2018
1478,2018
1479,2018
1480,2018
1481,2018
1482,2018
1483,2018
1484,2018
1485,2018
1486,2018
1487,2018
1488,2018
1489,2018
1490,2018
1491,2018
1492,2018
1493,2018
1494,2018
1495,2018
1496,2018
1497,2018
1498,2018
1499,2018
1500,2018
1501,2018
1502,2018
1503,2018
1504,2018
1505,2015
1506,2015
1507,2015
1508,2015
1509,2019
1510,2019
1511,2019
1512,2019
1513,2020
1514,2020
1515,2020
1516,2020
1517,2020
1518,2020
1519,2020
1520,2021
1521,2021
1522,2021
1523,2021
1524,2021
1525,2021
1526,2021
1527,2021
1528,2015
1529,2015
1530,2015
1531,2015
1532,2015
1533,2015
1534,2015
1535,2015
1536,2014
1537,2011
1538,2011
1539,2007
1540,2007
1541,2010
1542,2010
1543,2010
1544,2010
1545,2010
1546,2010
1547,2010
1548,2010
1549,2010
1550,2010
1551,2010
1552,2010
1553,2005
1554,2005
1555,2005
1556,2005
1557,2005
1558,2005
1559,2005
1560,2006
1561,2006
1562,2006
1563,2006
1564,2008
1565,2008
1566,2008
1567,2011
1568,2011
1569,2018
1570,2010
1571,2019
1572,2010
1573,2010
1574,2010
1575,2009
1576,2009
1577,2014
1578,2013
1579,2022
1580,2019
1581,2009
1582,2009
1583,2009
1584,2014
1585,2014
1586,2014
1587,2014
1588,2003
1589,2003
1590,2022
1591,2022
1592,2022
1593,2002
1594,2002
1595,2002
1596,2002
1597,2002
1598,2011
1599,2011
1600,2011
1601,2017
1602,2017
1603,2017
1604,2017
1605,2017
1606,2017
1607,2017
1608,2017
1609,2017
1610,2017
1611,2017
1612,2017
1613,2006
1614,2006
1615,2012
1616,2012
1617,2012
1618,2012
1619,2013
1620,2013
1621,1999
1622,1999
1623,1999
1624,1999
1625,1999
1626,2005
1627,2005
1628,2021
1629,2002
1630,2002
1631,2020
1632,2020
1633,2020
1634,2020
1635,2020
1636,2020
1637,2020
1638,2020
1639,2020
1640,2020
1641,2020
1642,2020
1643,2021
1644,2014
1645,2011
1646,2011
1647,2011
1648,2002
1649,2002
1650,2002
1651,2002
1652,2002
1653,2002
1654,2002
1655,2005
1656,2005
1657,2005
1658,2005
1659,2005
1660,2010
1661,2010
1662,2013
1663,2013
1664,2021
1665,2005
1666,2005
1667,2005
1668,2021
1669,2022
1670,2022
1671,2022
1672,2022
1673,2022
1674,2009
1675,2009
1676,2009
1677,2021
1678,2021
1679,2021
1680,2021
1681,2021
1682,2022
1683,2022
1684,2003
1685,2003
1686,2003
1687,2003
1688,2022
1689,2017
1690,2016
1691,2020
1692,2013
1693,2013
1694,2013
1695,2022
1696,2022
1697,2010
1698,2010
1699,2010
1700,2010
1701,2017
1702,2022
1703,2003
1704,2003
1705,2014
1706,2014
1707,2002
1708,2002
1709,2002
1710,2002
1711,2002
1712,2001
1713,2001
1714,2001
1715,2001
1716,2018
1717,2018
1718,2022
1719,2007
1720,2007
1721,2007
1722,2007
1723,2007
1724,2007
1725,2008
1726,2008
1727,2008
1728,2008
1729,2022
1730,2022
1731,2022
1732,2021
1733,2011
1734,2011
1735,2018
1736,2004
1737,2004
1738,2004
1739,2004
1740,2004
1741,2004
1742,2015
1743,2015
1744,2004
1745,2004
1746,2004
1747,2004
1748,2005
1749,2005
1750,2005
1751,2005
1752,2005
1753,2005
1754,2005
1755,2008
1756,2008
1757,2005
1758,2005
1759,2005
1760,2013
1761,2013
1762,2003
1763,2003
1764,2022
1765,2022
1766,2022
1767,2021
1768,2016
1769,2022
1770,2019
1771,2019
1772,2009
1773,2009
1774,2007
1775,2007
1776,2007
1777,2007
1778,2007
1779,2009
1780,2009
1781,2009
1782,2009
1783,2009
1784,2009
1785,2015
1786,2015
1787,2018
1788,2000
1789,2000
1790,2000
1791,2000
1792,2000
1793,2000
1794,2002
1795,2002
1796,2002
1797,2002
1798,2009
1799,2009
1800,2009
1801,2009
1802,2022
1803,2002
1804,2002
1805,2002
1806,2002
1807,2002
1808,2002
1809,2005
1810,2005
1811,2005
1812,2005
1813,2005
1814,2016
1815,2009
1816,1999
1817,1999
1818,1999
1819,1999
1820,1999
1821,2011
1822,2011
1823,2011
1824,2018
1825,2005
1826,2005
1827,2007
1828,2007
1829,2011
1830,2016
1831,2016
1832,2016
1833,2019
1834,2019
1835,1999
1836,1999
1837,1999
1838,1999
1839,1999
1840,2009
1841,2009
1842,2022
1843,2022
1844,2019
1845,2019
1846,2019
1847,2019
1848,2019
1849,2019
1850,2019
1851,2019
1852,2019
1853,2019
1854,2019
1855,2009
1856,2009
1857,2021
1858,2022
1859,2011
1860,2011
1861,2021
1862,2021
1863,2021
1864,2021
1865,2013
1866,2013
1867,2009
1868,2009
1869,2009
1870,2009
1871,2008
1872,2008
1873,2018
1874,2018
1875,2018
1876,2018
1877,2014
1878,2014
1879,2014
1880,2022
1881,2022
1882,2021
1883,2014
1884,2014
1885,2014
1886,2014
1887,2014
1888,2014
1889,2014
1890,2014
1891,2014
1892,2014
1893,2014
1894,2014
1895,2002
1896,2002
1897,2002
1898,2022
1899,2001
1900,2001
1901,2001
1902,2001
1903,2012
1904,2012
1905,2005
1906,2005
1907,2011
1908,2011
1909,2003
1910,2003
1911,2016
1912,2008
1913,2008
1914,2008
1915,2008
1916,2022
1917,2008
1918,2008
1919,2010
1920,2010
1921,2010
1922,2021
1923,2021
1924,2015
1925,2015
1926,2015
1927,2010
1928,2010
1929,2010
1930,2010
1931,2015
1932,2015
1933,2009
1934,2009
1935,2017
1936,2017
1937,2017
1938,2003
1939,2018
1940,2016
1941,2016
1942,2009
1943,2018
1944,2018
1945,2009
1946,2009
1947,2005
1948,2005
1949,2005
1950,2005
1951,2005
1952,2005
1953,2005
1954,2005
1955,2005
1956,2005
1957,2005
1958,2005
1959,2005
1960,2005
